Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam
BOKM TIANJIN,-,-,,19.9 m,-,24 days ago,9908607 / 636021238,5LCY6,Liberia,340 / 62 m
SEA SHANGHAI,-,-,,20.4 m,-,8 days ago,9844095 / 373988000,HOEL,Panama,340 / 62 m
SAO NEPTUNE,,,,15.6 m,-,17 days ago,9840453 / 538008868,V7A2853,Marshall Islands,340 / 62 m
SAO GRACE,-,-,303.9° / 11.0 kn,11.5 m,-,8 days ago,9824033 / 538008386,V7A2302,Marshall Islands,340 / 62 m
SAO INDIGO,-,-,108.7° / 0.0 kn,16.0 m,-,6 days ago,9824057 / 538008388,V7A2304,Marshall Islands,340 / 62 m
SAO PEARL,,,237.5° / 12.8 kn,11.6 m,Under way,0 min ago,9840477 / 538008869,V7A2854,Marshall Islands,340 / 62 m
SAO UNISON,,,103.4° / 9.4 kn,16.0 m,-,16 hours ago,9841380 / 352218000,3FYQ,Panama,340 / 62 m
HL MERCURY,,,194° / 12.7 kn,15.7 m,-,10 days ago,9845142 / 351907000,3FXS,Panama,340 / 62 m
MAERSK SALALAH,-,-,313° / 16.3 kn,15.1 m,-,29 hours ago,9352016 / 477890500,VRVN3,Hong Kong,334 / 43 m
HG DAMPIER,,,50° / 13.0 kn,8.9 m,-,14 hours ago,9409120 / 636024499,5LSX4,Liberia,292 / 45 m
CAPE BRITANNIA,-,-,,11.5 m,-,8 days ago,9409065 / 431449000,7JYW,Japan,292 / 45 m
WEN HUA STAR,-,-,,18.3 m,-,9 days ago,9397846 / 636021300,5LDG8,Liberia,292 / 44 m
GOLDEN ZHEJIANG,-,-,,10.3 m,-,7 days ago,9443619 / 477925100,VRHH9,Hong Kong,292 / 45 m
GOLDEN BEIJING,-,-,94° / 0.3 kn,16.0 m,At anchor,3 min ago,9439412 / 477655100,VRGC6,Hong Kong,292 / 45 m
GOLDEN FUTURE,-,-,,11.6 m,-,5 days ago,9443607 / 477639600,VRGC2,Hong Kong,292 / 45 m
