Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

CAPE RIGI,,,,10.0 m,-,13 hours ago,9713064 / 636024378,5LSH7,Liberia,300 / 50 m,9713064
TRUE NORTH,,,,18.6 m,-,25 days ago,9713076 / 636021424,5LDW9,Liberia,300 / 50 m,9713076
SERI BALQIS,-,-,,10.6 m,-,13 hours ago,9331672 / 533894000,9MII5,Malaysia,294 / 46 m,9331672
SERI BALHAF,,,,9.5 m,-,4 days ago,9331660 / 533868000,9MIB9,Malaysia,295 / 46 m,9331660
NSU QUEST,-,-,,9.4 m,Drifting,0 min ago,9713454 / 431804000,7KMT,Japan,300 / 50 m,9713454
TRUE NAVIGATOR,,,,10.5 m,-,28 hours ago,9724661 / 636020531,D5ZP9,Liberia,299 / 50 m,9724661
NSU OBELISK,-,-,,13.6 m,-,77 days ago,9675664 / 431113000,7KEE,Japan,300 / 50 m,9675664
NSU KEYSTONE,,,148.5° / 15.4 kn,10.2 m,-,4 days ago,9641883 / 431977000,7KBP,Japan,300 / 50 m,9641883
HEIDE OLDENDORFF,,,,18.5 m,Under way,12 hours ago,9871103 / 255805818,CQEZ8,Portugal (Madeira),300 / 50 m,9871103
HAUKE OLDENDORFF,,,,17.9 m,Constrained,28 min ago,9871115 / 255805821,CQEZ9,Portugal (Madeira),300 / 50 m,9871115
HENRY OLDENDORFF,,,,9.1 m,Under way,0 min ago,9871086 / 636020282,D5YN2,Liberia,300 / 50 m,9871086
HUGO OLDENDORFF,-,-,,5.4 m,-,7 days ago,9871098 / 636020288,D5YN8,Liberia,300 / 50 m,9871098
LEOPOLD OLDENDORFF,,,,17.2 m,-,5 days ago,9691943 / 255805612,CQFK,Portugal (Madeira),300 / 50 m,9691943
LUDOLF OLDENDORFF,,,,10.0 m,-,7 days ago,9691955 / 255805619,CQFR,Portugal (Madeira),300 / 50 m,9691955
MINOAS,,,,18.6 m,-,3 days ago,9721865 / 370277000,3EQT7,Panama,300 / 50 m,9721865
ARIADNE,,,,13.1 m,Under way,1 min ago,9721877 / 351908000,H8SL,Panama,300 / 50 m,9721877
LUISE OLDENDORFF,-,-,,9.3 m,Moored,3 hours ago,9714240 / 255805685,CQEI,Portugal (Madeira),300 / 50 m,9714240
LAVINIA OLDENDORFF,,,75.2° / 8.8 kn,18.4 m,-,3 days ago,9691931 / 636016582,D5GW2,Liberia,300 / 50 m,9691931
LINDA OLDENDORFF,,,,9.4 m,-,8 days ago,9691929 / 255805609,CQFH,Portugal (Madeira),300 / 50 m,9691929
MSC MADELEINE,-,-,,14.7 m,-,33 hours ago,9305702 / 353728000,3EFR7,Panama,349 / 44 m,9305702
MSC INES,-,-,,11.2 m,Moored,13 min ago,9305714 / 356112000,3EFZ3,Panama,348 / 42 m,9305714
HARRY OLDENDORFF,,,,18.8 m,-,23 hours ago,9870343 / 636019630,D5VJ9,Liberia,299 / 50 m,9870343
CL WUZHOU,,,,18.6 m,-,12 days ago,9854557 / 636018993,D5SK7,Liberia,300 / 50 m,9854557
